StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent_1,Consent_2,Consent_3,Consent_4,Consent_5,Consent_6,Consent_7,IDs_1,IDs_2,Cont_Timer_First Click,Cont_Timer_Last Click,Cont_Timer_Page Submit,Cont_Timer_Click Count,KM_P_1,KM_P_2,KM_P_3,KM_P_10,KM_P_4,KM_P_5,KM_P_6,KM_P_7,KM_P_8,KM_P_9,KM_P_11,KM_P_12,KM_P_DO,KM_CSR_1,KM_CSR_2,KM_CSR_3,KM_CSR_4,KM_CSR_DO,KM_P_1,KM_P_2,KM_P_3,KM_P_4,KM_P_DO,KM_PA_1,KM_L_1,KM_L_2,KM_L_3,KM_L_DO,PPI_5,PPI_7,PPI_8,PPRM_DO,SEP_Pre_1,SEP_Pre_2,SEP_Pre_3,SEP_Pre_DO,IOS_Pre,AttCheck,AttCheck_DO,PrevExp,FL_12_DO,"++KAMMUSTwoZickfeldetal.,2019_DO"
11/2/2022 13:53,11/2/2022 14:09,0,129.215.52.167,100,975,1,11/2/2022 14:09,R_pypYYKAhkyJbw1b,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2014,1027,0,0,212.431,0,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_3|KM_P_2|KM_P_8|KM_P_11|KM_P_4|KM_P_12|KM_P_5|KM_P_10|KM_P_1|KM_P_7|KM_P_9|KM_P_6,4,4,4,4,4|2|3|1,4,4,2,4,1|3|2|4,4,2,2,2,1|3|2,,,,,,,,,,7,3|4|9|5|2|7|6,1,,KM_PA|KM_P|KM_CSR|KM_P|KM_L
11/2/2022 13:52,11/2/2022 14:11,0,129.215.52.229,100,1124,1,11/2/2022 14:11,R_r3jUdOSyUioxvs5,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2014,1028,0,0,213.147,0,1,1,1,1,1,1,1,1,1,7,5,3,KM_P_3|KM_P_1|KM_P_9|KM_P_11|KM_P_10|KM_P_5|KM_P_12|KM_P_8|KM_P_7|KM_P_6|KM_P_2|KM_P_4,3,2,1,1,1|2|3|4,1,1,4,1,2|1|3|4,5,5,1,1,1|3|2,,,,,,,,,,7,4|2|9|3|5|7|6,1,,KM_P|KM_PA|KM_CSR|KM_L|KM_P
11/2/2022 16:00,11/2/2022 16:05,0,129.215.52.167,100,325,1,11/2/2022 16:05,R_5A27iRU4ClsLeWl,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2040,1079,210.887,210.887,211.656,1,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_4|KM_P_1|KM_P_2|KM_P_5|KM_P_8|KM_P_3|KM_P_7|KM_P_6|KM_P_9|KM_P_11|KM_P_12|KM_P_10,1,1,1,3,3|1|4|2,1,1,1,1,3|1|4|2,3,1,1,1,1|3|2,,,,,,,,,,7,3|7|2|4|9|5|6,1,,KM_CSR|KM_L|KM_P|KM_P|KM_PA
11/2/2022 15:59,11/2/2022 16:06,0,129.215.52.229,100,430,1,11/2/2022 16:06,R_cFOaEx3IKuPgeR3,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2040,1080,0,0,207.777,0,5,5,6,6,6,7,5,5,6,6,6,6,KM_P_1|KM_P_5|KM_P_2|KM_P_6|KM_P_8|KM_P_10|KM_P_11|KM_P_12|KM_P_3|KM_P_7|KM_P_4|KM_P_9,6,6,6,7,3|4|1|2,5,7,7,6,3|1|4|2,6,7,5,7,3|1|2,,,,,,,,,,7,9|5|3|2|4|7|6,1,,KM_CSR|KM_P|KM_P|KM_L|KM_PA
11/7/2022 15:58,11/7/2022 16:06,0,129.215.52.167,100,496,1,11/7/2022 16:06,R_3EhvwnCC6ii2B2K,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2068,1136,0,0,222.179,0,4,4,5,1,7,7,4,4,1,7,6,6,KM_P_12|KM_P_5|KM_P_3|KM_P_8|KM_P_7|KM_P_4|KM_P_6|KM_P_10|KM_P_11|KM_P_1|KM_P_2|KM_P_9,7,7,7,6,4|3|2|1,7,7,7,6,1|3|4|2,7,4,4,4,3|2|1,,,,,,,,,,7,7|3|5|9|4|2|6,1,,KM_CSR|KM_P|KM_P|KM_L|KM_PA
11/7/2022 15:58,11/7/2022 16:07,0,129.215.52.229,100,576,1,11/7/2022 16:07,R_eKwuLRyUXKp0Amd,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2068,1135,0,0,215.343,0,1,1,1,1,3,1,1,3,1,3,2,2,KM_P_5|KM_P_1|KM_P_10|KM_P_9|KM_P_6|KM_P_12|KM_P_11|KM_P_8|KM_P_3|KM_P_7|KM_P_4|KM_P_2,5,5,5,4,3|1|4|2,5,4,6,5,4|3|1|2,5,4,4,4,2|3|1,,,,,,,,,,7,7|2|3|9|4|5|6,1,,KM_P|KM_PA|KM_L|KM_CSR|KM_P
11/7/2022 17:00,11/7/2022 17:09,0,129.215.52.229,100,520,1,11/7/2022 17:09,R_7WFplM5PzHvpIjL,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2060,1120,0,0,213.543,0,2,2,5,4,4,4,2,2,2,5,2,2,KM_P_12|KM_P_9|KM_P_4|KM_P_7|KM_P_5|KM_P_6|KM_P_8|KM_P_11|KM_P_3|KM_P_2|KM_P_1|KM_P_10,1,1,1,2,4|1|3|2,2,2,3,2,1|4|2|3,3,2,2,2,2|3|1,,,,,,,,,,7,4|5|9|3|2|7|6,1,,KM_CSR|KM_L|KM_P|KM_P|KM_PA
11/7/2022 17:00,11/7/2022 17:10,0,129.215.52.167,100,553,1,11/7/2022 17:10,R_RsnktKTW8qVSi6B,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2060,1119,62.704,62.704,209.422,1,4,1,7,7,6,7,1,1,3,7,7,7,KM_P_5|KM_P_2|KM_P_1|KM_P_4|KM_P_8|KM_P_9|KM_P_6|KM_P_10|KM_P_7|KM_P_12|KM_P_11|KM_P_3,7,7,7,7,3|1|2|4,7,7,7,7,2|1|3|4,7,7,7,7,3|1|2,,,,,,,,,,7,3|5|4|7|2|9|6,1,,KM_PA|KM_P|KM_L|KM_CSR|KM_P
11/9/2022 11:20,11/9/2022 11:28,0,129.215.52.229,100,454,1,11/9/2022 11:28,R_3szxlNPasq8RQtf,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2030,1060,0,0,210.52,0,1,1,1,1,1,1,1,1,1,3,2,1,KM_P_12|KM_P_11|KM_P_7|KM_P_4|KM_P_9|KM_P_3|KM_P_6|KM_P_8|KM_P_5|KM_P_1|KM_P_10|KM_P_2,1,1,1,1,2|4|1|3,1,1,1,1,1|4|3|2,3,1,2,1,3|2|1,5,5,5,PPI_5|PPI_7|PPI_8,6,6,2,1|3|2,2,7,5|7|2|9|4|3|6,1,"PPRMotive(adaptedReisetal.,2018;Gableetal2012)|IOS(Aronetal.,1992)|SEPshort(adapted Lewandowski&Ackerman,2006)",KM_L|KM_P|KM_PA|KM_CSR|KM_P
11/9/2022 11:21,11/9/2022 11:28,0,129.215.52.167,100,447,1,11/9/2022 11:28,R_efgEAIym5c6Am0F,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2030,1059,0,0,220.109,0,1,1,1,1,1,1,1,1,1,2,1,1,KM_P_10|KM_P_1|KM_P_2|KM_P_6|KM_P_9|KM_P_7|KM_P_12|KM_P_5|KM_P_4|KM_P_3|KM_P_11|KM_P_8,2,1,1,4,4|1|3|2,3,3,3,3,3|1|2|4,4,5,2,1,1|2|3,5,5,5,PPI_8|PPI_7|PPI_5,7,7,1,2|1|3,4,7,7|4|3|9|5|2|6,1,"PPRMotive(adaptedReisetal.,2018;Gableetal2012)|SEPshort(adapted Lewandowski&Ackerman,2006)|IOS(Aronetal.,1992)",KM_P|KM_PA|KM_L|KM_P|KM_CSR
11/9/2022 13:47,11/9/2022 14:13,0,129.215.52.167,100,1576,1,11/9/2022 14:13,R_3L4EIASqmVyQilL,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2046,1091,0,0,207.838,0,1,1,1,1,1,1,1,1,1,1,1,2,KM_P_10|KM_P_4|KM_P_11|KM_P_2|KM_P_3|KM_P_1|KM_P_6|KM_P_5|KM_P_9|KM_P_12|KM_P_7|KM_P_8,1,1,1,2,1|4|3|2,2,2,6,5,3|4|1|2,4,1,1,1,3|2|1,5,5,5,PPI_7|PPI_8|PPI_5,5,7,1,1|2|3,4,7,7|5|9|3|2|4|6,1,"SEPshort(adapted Lewandowski&Ackerman,2006)|IOS(Aronetal.,1992)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_P|KM_L|KM_PA|KM_P|KM_CSR
11/9/2022 13:46,11/9/2022 14:14,0,129.215.52.229,100,1690,1,11/9/2022 14:14,R_3qwIANZVL7da7ZL,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2046,1092,0,0,209.178,0,1,1,1,1,1,1,1,1,1,3,1,1,KM_P_5|KM_P_1|KM_P_2|KM_P_10|KM_P_9|KM_P_6|KM_P_12|KM_P_8|KM_P_3|KM_P_4|KM_P_11|KM_P_7,1,1,1,3,2|1|4|3,1,1,1,1,2|3|4|1,4,2,1,1,1|3|2,5,5,5,PPI_5|PPI_8|PPI_7,6,6,2,1|2|3,4,7,9|4|3|2|7|5|6,1,"IOS(Aronetal.,1992)|SEPshort(adapted Lewandowski&Ackerman,2006)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_PA|KM_CSR|KM_P|KM_L|KM_P
11/9/2022 15:02,11/9/2022 15:14,0,129.215.52.167,100,695,1,11/9/2022 15:14,R_6icWoSkOvdCWMNP,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2044,1087,0,0,207.375,0,1,1,1,1,1,1,1,1,1,5,1,1,KM_P_12|KM_P_10|KM_P_8|KM_P_4|KM_P_9|KM_P_5|KM_P_2|KM_P_11|KM_P_7|KM_P_6|KM_P_1|KM_P_3,1,1,2,1,3|1|2|4,1,1,1,1,3|1|4|2,5,2,1,1,1|2|3,5,5,5,PPI_5|PPI_7|PPI_8,6,7,1,1|2|3,6,7,4|7|2|3|5|9|6,1,"IOS(Aronetal.,1992)|SEPshort(adapted Lewandowski&Ackerman,2006)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_CSR|KM_L|KM_PA|KM_P|KM_P
11/9/2022 15:02,11/9/2022 15:16,0,129.215.52.229,100,853,1,11/9/2022 15:16,R_2ZElW7GRhSFhPjo,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2044,1088,0,0,209.085,0,1,1,1,1,1,1,1,1,1,4,1,1,KM_P_10|KM_P_1|KM_P_11|KM_P_3|KM_P_2|KM_P_4|KM_P_5|KM_P_9|KM_P_6|KM_P_12|KM_P_8|KM_P_7,4,4,4,4,2|3|1|4,4,4,4,4,1|3|2|4,4,1,1,1,3|1|2,5,5,5,PPI_7|PPI_5|PPI_8,6,6,2,1|2|3,4,7,5|4|2|7|3|9|6,1,"PPRMotive(adaptedReisetal.,2018;Gableetal2012)|SEPshort(adapted Lewandowski&Ackerman,2006)|IOS(Aronetal.,1992)",KM_P|KM_L|KM_PA|KM_P|KM_CSR
11/9/2022 17:07,11/9/2022 17:14,0,129.215.52.167,100,372,1,11/9/2022 17:14,R_shgt4xPZvpp1hn3,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2020,1039,16.326,16.326,232.902,1,1,1,1,1,1,1,1,1,1,5,1,2,KM_P_9|KM_P_5|KM_P_2|KM_P_4|KM_P_6|KM_P_10|KM_P_11|KM_P_3|KM_P_8|KM_P_1|KM_P_12|KM_P_7,1,1,1,1,3|1|4|2,1,1,1,1,3|1|2|4,4,2,1,1,3|2|1,5,5,5,PPI_5|PPI_7|PPI_8,6,7,2,1|3|2,4,7,5|7|3|4|9|2|6,1,"SEPshort(adapted Lewandowski&Ackerman,2006)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)|IOS(Aronetal.,1992)",KM_L|KM_P|KM_PA|KM_CSR|KM_P
11/9/2022 17:07,11/9/2022 17:16,0,129.215.52.229,100,513,1,11/9/2022 17:16,R_3iUpnUWaj0z32ex,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2020,1040,0,0,206.597,0,1,1,1,1,1,1,1,1,1,5,1,1,KM_P_7|KM_P_10|KM_P_6|KM_P_2|KM_P_12|KM_P_11|KM_P_5|KM_P_9|KM_P_8|KM_P_3|KM_P_4|KM_P_1,1,1,1,1,2|3|4|1,1,1,2,1,1|3|4|2,6,1,1,1,2|3|1,5,5,5,PPI_5|PPI_8|PPI_7,6,7,2,1|3|2,6,7,5|9|7|2|3|4|6,1,"PPRMotive(adaptedReisetal.,2018;Gableetal2012)|SEPshort(adapted Lewandowski&Ackerman,2006)|IOS(Aronetal.,1992)",KM_P|KM_P|KM_PA|KM_L|KM_CSR
11/12/2022 12:59,11/12/2022 13:07,0,129.215.52.167,100,456,1,11/12/2022 13:07,R_zYDonYh2kC3B7BD,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2058,1115,0,0,274.992,0,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_6|KM_P_4|KM_P_2|KM_P_3|KM_P_7|KM_P_1|KM_P_9|KM_P_10|KM_P_12|KM_P_5|KM_P_8|KM_P_11,1,1,1,1,3|1|4|2,1,1,1,1,3|2|1|4,1,1,1,1,3|1|2,4,4,4,PPI_7|PPI_8|PPI_5,5,6,1,1|2|3,6,7,7|4|9|5|2|3|6,1,"SEPshort(adapted Lewandowski&Ackerman,2006)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)|IOS(Aronetal.,1992)",KM_P|KM_L|KM_CSR|KM_P|KM_PA
11/12/2022 12:59,11/12/2022 13:09,0,129.215.52.229,100,641,1,11/12/2022 13:09,R_3kaZuIUhtQUTVr7,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2058,1116,0,0,212.849,0,1,1,2,2,4,2,2,2,2,6,2,2,KM_P_4|KM_P_2|KM_P_3|KM_P_5|KM_P_1|KM_P_8|KM_P_6|KM_P_11|KM_P_9|KM_P_12|KM_P_7|KM_P_10,2,2,2,4,1|3|2|4,2,2,3,3,2|1|3|4,6,2,2,2,3|2|1,4,5,5,PPI_5|PPI_8|PPI_7,6,6,2,3|1|2,5,7,3|9|7|5|4|2|6,1,"IOS(Aronetal.,1992)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)|SEPshort(adapted Lewandowski&Ackerman,2006)",KM_L|KM_CSR|KM_PA|KM_P|KM_P
11/16/2022 11:47,11/16/2022 12:11,0,129.215.52.229,100,1473,1,11/16/2022 12:11,R_3dYvON6GqwNwGaj,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2070,1140,0,0,208.384,0,3,2,3,1,3,2,3,3,5,5,3,6,KM_P_6|KM_P_9|KM_P_2|KM_P_4|KM_P_7|KM_P_11|KM_P_5|KM_P_8|KM_P_12|KM_P_3|KM_P_1|KM_P_10,3,4,2,2,2|1|4|3,3,4,4,5,2|1|4|3,4,4,3,2,1|2|3,5,5,5,PPI_7|PPI_8|PPI_5,7,6,2,1|3|2,4,7,9|5|2|7|4|3|6,1,"SEPshort(adapted Lewandowski&Ackerman,2006)|IOS(Aronetal.,1992)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_L|KM_CSR|KM_PA|KM_P|KM_P
11/16/2022 11:54,11/16/2022 12:11,0,129.215.52.167,100,1045,1,11/16/2022 12:11,R_27vf7t2IaGnti7D,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2070,1139,0,0,209.474,0,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_4|KM_P_3|KM_P_7|KM_P_8|KM_P_12|KM_P_2|KM_P_10|KM_P_11|KM_P_1|KM_P_5|KM_P_9|KM_P_6,1,1,1,1,1|3|4|2,1,2,2,1,3|2|4|1,2,1,1,1,3|1|2,5,5,5,PPI_5|PPI_7|PPI_8,6,6,2,3|1|2,4,7,7|4|9|3|2|5|6,1,"PPRMotive(adaptedReisetal.,2018;Gableetal2012)|SEPshort(adapted Lewandowski&Ackerman,2006)|IOS(Aronetal.,1992)",KM_P|KM_CSR|KM_L|KM_P|KM_PA
11/18/2022 11:42,11/18/2022 12:17,0,129.215.52.229,100,2123,1,11/18/2022 12:17,R_xuBGEm1j6XFVuQ9,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2106,1212,0,0,208.015,0,1,1,1,1,1,3,1,1,1,4,1,1,KM_P_2|KM_P_6|KM_P_12|KM_P_11|KM_P_9|KM_P_10|KM_P_1|KM_P_5|KM_P_4|KM_P_3|KM_P_7|KM_P_8,1,1,1,1,4|1|2|3,1,1,1,3,4|1|3|2,5,3,1,1,1|2|3,4,5,5,PPI_8|PPI_7|PPI_5,7,6,1,3|1|2,6,7,3|2|7|4|5|9|6,1,"IOS(Aronetal.,1992)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)|SEPshort(adapted Lewandowski&Ackerman,2006)",KM_L|KM_P|KM_P|KM_PA|KM_CSR
11/18/2022 11:42,11/18/2022 12:18,0,129.215.52.167,100,2145,1,11/18/2022 12:18,R_2CECjwyOn0tdZQZ,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2106,1211,0,0,216.159,0,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_8|KM_P_2|KM_P_3|KM_P_1|KM_P_11|KM_P_7|KM_P_6|KM_P_10|KM_P_9|KM_P_5|KM_P_4|KM_P_12,1,1,1,1,2|4|3|1,1,1,1,1,4|3|2|1,3,1,1,1,2|1|3,5,5,5,PPI_8|PPI_5|PPI_7,6,6,3,1|2|3,7,7,9|2|3|7|5|4|6,1,"IOS(Aronetal.,1992)|SEPshort(adapted Lewandowski&Ackerman,2006)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_P|KM_PA|KM_P|KM_CSR|KM_L
11/18/2022 15:57,11/18/2022 16:05,0,129.215.52.167,100,476,1,11/18/2022 16:05,R_2R4XBuuiOIgQfbD,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2076,1152,0,0,240.231,0,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_2|KM_P_1|KM_P_4|KM_P_6|KM_P_7|KM_P_11|KM_P_8|KM_P_3|KM_P_9|KM_P_12|KM_P_10|KM_P_5,2,2,3,4,1|2|3|4,1,1,1,1,3|1|4|2,4,1,1,1,1|3|2,5,5,5,PPI_7|PPI_5|PPI_8,7,7,1,1|3|2,5,7,5|9|3|7|2|4|6,1,"IOS(Aronetal.,1992)|SEPshort(adapted Lewandowski&Ackerman,2006)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_CSR|KM_P|KM_P|KM_PA|KM_L
11/18/2022 15:56,11/18/2022 16:09,0,129.215.52.229,100,770,1,11/18/2022 16:09,R_2rwFk8UGb2MCOBc,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2076,1151,0,0,299.487,0,1,1,1,1,1,1,1,1,1,1,1,1,KM_P_8|KM_P_1|KM_P_5|KM_P_6|KM_P_12|KM_P_3|KM_P_11|KM_P_10|KM_P_7|KM_P_2|KM_P_4|KM_P_9,1,1,1,1,3|1|2|4,1,1,1,1,3|4|1|2,4,1,1,1,1|3|2,5,5,5,PPI_5|PPI_7|PPI_8,7,7,1,1|3|2,6,7,4|3|9|2|5|7|6,1,"SEPshort(adapted Lewandowski&Ackerman,2006)|IOS(Aronetal.,1992)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_L|KM_P|KM_PA|KM_P|KM_CSR
11/19/2022 12:59,11/19/2022 13:09,0,129.215.52.167,100,585,1,11/19/2022 13:09,R_3qsuGnmmGz4j2Fi,,,,,55.9489,-3.1632,anonymous,EN,1,1,1,1,1,1,1,2048,1095,0,0,210.405,0,1,1,1,1,1,1,6,1,1,5,1,1,KM_P_2|KM_P_8|KM_P_9|KM_P_6|KM_P_3|KM_P_5|KM_P_10|KM_P_7|KM_P_12|KM_P_4|KM_P_1|KM_P_11,1,1,1,1,3|1|2|4,1,1,1,1,2|1|3|4,5,1,1,1,1|3|2,5,4,5,PPI_8|PPI_7|PPI_5,3,5,2,3|2|1,2,7,2|4|5|7|3|9|6,1,"SEPshort(adapted Lewandowski&Ackerman,2006)|IOS(Aronetal.,1992)|PPRMotive(adaptedReisetal.,2018;Gableetal2012)",KM_L|KM_CSR|KM_P|KM_PA|KM_P
